tensor(-0.1330, grad_fn=<CopyBackwards>)
tensor(-0.0038, grad_fn=<CopyBackwards>)
tensor(-0.0081, grad_fn=<CopyBackwards>)
tensor(-0.0338, grad_fn=<CopyBackwards>)
tensor(-0.0318, grad_fn=<CopyBackwards>)
tensor(-0.1377, grad_fn=<CopyBackwards>)
tensor(-0.3317, grad_fn=<CopyBackwards>)
tensor(-0.0043, grad_fn=<CopyBackwards>)
tensor(-0.0317, grad_fn=<CopyBackwards>)
tensor(-0.0204, grad_fn=<CopyBackwards>)
tensor(-0.1335, grad_fn=<CopyBackwards>)
tensor(-0.0153, grad_fn=<CopyBackwards>)
tensor(-0.0033, grad_fn=<CopyBackwards>)
tensor(-0.0220, grad_fn=<CopyBackwards>)
tensor(-0.0275, grad_fn=<CopyBackwards>)
tensor(-0.0038, grad_fn=<CopyBackwards>)
tensor(-0.0038, grad_fn=<CopyBackwards>)
tensor(-0.0430, grad_fn=<CopyBackwards>)
tensor(-0.0193, grad_fn=<CopyBackwards>)
tensor(-0.0002, grad_fn=<CopyBackwards>)
tensor(-0.1304, grad_fn=<CopyBackwards>)
tensor(-0.0070, grad_fn=<CopyBackwards>)
tensor(-0.1079, grad_fn=<CopyBackwards>)
tensor(-0.0062, grad_fn=<CopyBackwards>)
tensor(-0.0192, grad_fn=<CopyBackwards>)
tensor(-0.0030, grad_fn=<CopyBackwards>)
tensor(-0.0023, grad_fn=<CopyBackwards>)
tensor(-0.0140, grad_fn=<CopyBackwards>)
tensor(-0.0008, grad_fn=<CopyBackwards>)
tensor(-0.0427, grad_fn=<CopyBackwards>)
tensor(-0.1321, grad_fn=<CopyBackwards>)
tensor(-0.1187, grad_fn=<CopyBackwards>)
tensor(-0.0015, grad_fn=<CopyBackwards>)
tensor(-0.0207, grad_fn=<CopyBackwards>)
tensor(-0.0020, grad_fn=<CopyBackwards>)
tensor(-0.0845, grad_fn=<CopyBackwards>)
tensor(-0.0002, grad_fn=<CopyBackwards>)
tensor(-0.0021, grad_fn=<CopyBackwards>)
tensor(-0.0003, grad_fn=<CopyBackwards>)
tensor(-0.0003, grad_fn=<CopyBackwards>)
tensor(-0.0573, grad_fn=<CopyBackwards>)
tensor(-0.0284, grad_fn=<CopyBackwards>)
tensor(-0.0495, grad_fn=<CopyBackwards>)
