tensor(-0.7148, grad_fn=<CopyBackwards>)
tensor(-0.8628, grad_fn=<CopyBackwards>)
tensor(-0.8907, grad_fn=<CopyBackwards>)
tensor(-0.7430, grad_fn=<CopyBackwards>)
tensor(0.5231, grad_fn=<CopyBackwards>)
tensor(-0.8986, grad_fn=<CopyBackwards>)
tensor(-0.3963, grad_fn=<CopyBackwards>)
tensor(-0.8634, grad_fn=<CopyBackwards>)
tensor(-0.5306, grad_fn=<CopyBackwards>)
tensor(-0.6434, grad_fn=<CopyBackwards>)
tensor(-0.8417, grad_fn=<CopyBackwards>)
tensor(-0.7528, grad_fn=<CopyBackwards>)
tensor(-0.7995, grad_fn=<CopyBackwards>)
tensor(-0.6722, grad_fn=<CopyBackwards>)
tensor(-0.7393, grad_fn=<CopyBackwards>)
tensor(-0.5949, grad_fn=<CopyBackwards>)
tensor(-0.6643, grad_fn=<CopyBackwards>)
tensor(-0.3892, grad_fn=<CopyBackwards>)
tensor(-0.5607, grad_fn=<CopyBackwards>)
tensor(-0.7225, grad_fn=<CopyBackwards>)
tensor(-0.6552, grad_fn=<CopyBackwards>)
tensor(-0.5701, grad_fn=<CopyBackwards>)
tensor(-0.7551, grad_fn=<CopyBackwards>)
tensor(-0.3543, grad_fn=<CopyBackwards>)
tensor(-0.8300, grad_fn=<CopyBackwards>)
tensor(-0.5255, grad_fn=<CopyBackwards>)
tensor(-0.7542, grad_fn=<CopyBackwards>)
tensor(-0.6764, grad_fn=<CopyBackwards>)
tensor(-0.3430, grad_fn=<CopyBackwards>)
tensor(-0.8076, grad_fn=<CopyBackwards>)
tensor(-0.4613, grad_fn=<CopyBackwards>)
tensor(-0.7532, grad_fn=<CopyBackwards>)
tensor(-0.5811, grad_fn=<CopyBackwards>)
tensor(-0.7708, grad_fn=<CopyBackwards>)
tensor(-0.9171, grad_fn=<CopyBackwards>)
tensor(-0.7298, grad_fn=<CopyBackwards>)
tensor(-0.5917, grad_fn=<CopyBackwards>)
tensor(-0.4326, grad_fn=<CopyBackwards>)
tensor(-0.9048, grad_fn=<CopyBackwards>)
tensor(-0.9452, grad_fn=<CopyBackwards>)
tensor(-0.6945, grad_fn=<CopyBackwards>)
tensor(-0.4873, grad_fn=<CopyBackwards>)
tensor(-0.9432, grad_fn=<CopyBackwards>)
tensor(-0.8224, grad_fn=<CopyBackwards>)
tensor(-0.6056, grad_fn=<CopyBackwards>)
tensor(-0.7797, grad_fn=<CopyBackwards>)
tensor(-0.8782, grad_fn=<CopyBackwards>)
tensor(-0.7584, grad_fn=<CopyBackwards>)
tensor(-0.8992, grad_fn=<CopyBackwards>)
tensor(-0.9593, grad_fn=<CopyBackwards>)
tensor(-0.6398, grad_fn=<CopyBackwards>)
tensor(-0.8378, grad_fn=<CopyBackwards>)
tensor(-0.4671, grad_fn=<CopyBackwards>)
tensor(-0.9164, grad_fn=<CopyBackwards>)
tensor(-0.7153, grad_fn=<CopyBackwards>)
tensor(-0.8380, grad_fn=<CopyBackwards>)
tensor(-0.5020, grad_fn=<CopyBackwards>)
tensor(-0.6159, grad_fn=<CopyBackwards>)
tensor(-0.5114, grad_fn=<CopyBackwards>)
tensor(-0.1450, grad_fn=<CopyBackwards>)
tensor(-0.8538, grad_fn=<CopyBackwards>)
tensor(-0.7617, grad_fn=<CopyBackwards>)
tensor(-0.6697, grad_fn=<CopyBackwards>)
tensor(-0.5984, grad_fn=<CopyBackwards>)
tensor(-0.6504, grad_fn=<CopyBackwards>)
tensor(-0.8779, grad_fn=<CopyBackwards>)
